District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,16500000000.0,1406.0,383.0,2.0,4.0,3.0,0.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,3000000000.0,120.0,128.0,2.0,3.0,3.0,1.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,5500000000.0,212.0,195.0,2.0,4.0,3.0,0.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,18000000000.0,900.0,600.0,2.0,5.0,3.0,0.0
Mampang Prapatan,Jakarta Selatan,-6.2481661,106.8262565,16000000000.0,587.0,350.0,1.0,4.0,3.0,0.0
Ciracas,Jakarta Timur,-6.308751699999999,106.8749344,3200000000.0,220.0,220.0,2.0,3.0,3.0,0.0
Kelapa Gading,Jakarta Utara,-6.161308699999999,106.9049822,4500000000.0,153.0,180.0,2.0,4.0,3.0,0.0
Duren Sawit,Jakarta Timur,-6.2393686,106.9299579,2490000000.0,129.0,180.0,2.0,3.0,3.0,1.0
Cipayung,Jakarta Timur,-6.3153539,106.8928693,888000000.0,49.0,50.0,2.0,2.0,2.0,1.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,1350000000.0,70.0,100.0,2.0,3.0,2.0,0.0
Cengkareng,Jakarta Barat,-6.1390604,106.7305335,3800000000.0,300.0,400.0,2.0,6.0,3.0,0.0
Setia Budi,Jakarta Selatan,-6.2136327,106.8264328,85000000000.0,1005.0,2500.0,2.0,6.0,6.0,0.0
Kebayoran Lama,Jakarta Selatan,-6.2365997,106.7805858,53000000000.0,650.0,1000.0,3.0,6.0,6.0,4.0
Kebayoran Lama,Jakarta Selatan,-6.2365997,106.7805858,28000000000.0,645.0,421.0,2.0,4.0,4.0,0.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,9000000000.0,300.0,480.0,2.0,6.0,6.0,1.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,1700000000.0,80.0,58.0,3.0,3.0,2.0,1.0
Cipayung,Jakarta Timur,-6.3153539,106.8928693,1164000000.0,95.0,75.0,2.0,3.0,2.0,1.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,6000000000.0,202.0,143.0,2.0,3.0,3.0,1.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,975000000.0,60.0,80.0,2.0,3.0,2.0,1.0
Cipayung,Jakarta Timur,-6.3153539,106.8928693,648000000.0,60.0,42.0,1.0,2.0,1.0,1.0
Kebon Jeruk,Jakarta Barat,-6.184046800000001,106.7680752,6500000000.0,714.0,180.0,1.0,5.0,2.0,0.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,1800000000.0,200.0,150.0,1.0,4.0,2.0,2.0
Pasar Rebo,Jakarta Timur,-6.326564899999999,106.8559596,769000000.0,47.0,60.0,2.0,2.0,2.0,2.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,9900000000.0,293.0,400.0,2.0,4.0,4.0,2.0
Pademangan,Jakarta Utara,-6.1339405,106.8383529,3500000000.0,102.0,306.0,3.0,4.0,6.0,2.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,2000000000.0,124.0,170.0,2.0,4.0,2.0,1.0
Cilincing,Jakarta Utara,-6.1101657,106.9448985,230000000.0,43.0,80.0,1.0,3.0,1.0,0.0
Kebayoran Baru,Jakarta Selatan,-6.2452337,106.7999471,25000000000.0,718.0,417.0,2.0,5.0,7.0,6.0
Pancoran,Jakarta Selatan,-6.2482256,106.8547133,1600000000.0,77.0,75.0,1.0,3.0,2.0,0.0
Matraman,Jakarta Timur,-6.2018754,106.8688565,2200000000.0,71.0,180.0,3.0,6.0,5.0,1.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,260000000.0,20.0,40.0,2.0,2.0,2.0,0.0
Palmerah,Jakarta Barat,-6.1942907,106.793333,1725000000.0,140.0,176.0,2.0,2.0,1.0,0.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,1400000000.0,55.0,100.0,2.0,3.0,2.0,1.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,3900000000.0,279.0,211.0,2.0,3.0,3.0,4.0
Jatinegara,Jakarta Timur,-6.2284425,106.8851503,850000000.0,30.0,55.0,2.0,2.0,2.0,1.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,750000000.0,50.0,100.0,2.0,3.0,2.0,1.0
Jagakarsa,Jakarta Selatan,-6.327337099999999,106.8207875,7500000000.0,414.0,414.0,2.0,4.0,2.0,2.0
Pulo Gadung,Jakarta Timur,-6.1796396,106.8827427,650000000.0,42.0,52.0,2.0,2.0,1.0,0.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,2800000000.0,228.0,272.0,2.0,5.0,2.0,1.0
Kramat Jati,Jakarta Timur,-6.263320299999999,106.8656951,1800000000.0,68.0,100.0,2.0,3.0,2.0,1.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,7800000000.0,320.0,500.0,2.0,3.0,3.0,3.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,6000000000.0,207.0,300.0,2.0,4.0,3.0,2.0
Kembangan,Jakarta Barat,-6.1987086,106.741926,2500000000.0,397.0,320.0,1.0,3.0,3.0,0.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,2890000000.0,18.0,300.0,2.0,7.0,5.0,2.0
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,8800000000.0,349.0,100.0,1.0,4.0,2.0,1.0
Jatinegara,Jakarta Timur,-6.2349983,106.8678743,4500000000.0,135.0,235.0,2.0,4.0,4.0,2.0
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,3000000000.0,88.0,180.0,2.0,2.0,2.0,0.0
Grogol Petamburan,Jakarta Barat,-6.166261,106.79228,1000000000.0,65.0,100.0,2.0,3.0,2.0,0.0
Cilandak,Jakarta Selatan,-6.3031123,106.7794935,3200000000.0,74.0,148.0,3.0,3.0,3.0,2.0
Cilandak,Jakarta Selatan,-6.3031123,106.7794935,4100000000.0,127.0,152.0,3.0,3.0,3.0,2.0
Cilandak,Jakarta Selatan,-6.3031123,106.7794935,3600000000.0,91.0,152.0,3.0,3.0,3.0,2.0
Kebon Jeruk,Jakarta Barat,-6.169184599999999,106.7748596,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Kebon Jeruk,Jakarta Barat,-6.1803589,106.7837213,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Cengkareng,Jakarta Barat,-6.1451657,106.804564,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Cilandak,Jakarta Selatan,-6.3031123,106.7794935,3100000000.0,72.0,148.0,3.0,3.0,3.0,2.0
Kembangan,Jakarta Barat,-6.145353000000001,106.8185752,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,1800000000.0,119.0,68.0,2.0,2.0,1.0,0.0
Pesanggrahan,Jakarta Selatan,-6.301752,106.8207875,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Kebayoran Lama,Jakarta Selatan,-6.2365997,106.7805858,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Cilandak,Jakarta Selatan,-6.3031123,106.7794935,4080000000.0,127.0,152.0,3.0,3.0,3.0,2.0
Cilandak,Jakarta Selatan,-6.3031123,106.7794935,3200000000.0,77.0,148.0,3.0,3.0,3.0,2.0
Kembangan,Jakarta Barat,-6.169184599999999,106.7748596,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Kebon Jeruk,Jakarta Barat,-6.1803589,106.7837213,1100000000.0,63.0,70.0,2.0,2.0,2.0,2.0
Tebet,Jakarta Selatan,-6.3031123,106.7794935,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Tebet,Jakarta Selatan,-6.2251223,106.8549881,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Tebet,Jakarta Selatan,-6.240989799999999,106.763273,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0
Tebet,Jakarta Selatan,-6.2251223,106.8549881,4000000000.0,265.0,165.0,1.0,5.0,2.0,2.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,850000000.0,68.0,68.0,1.0,3.0,1.0,1.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,2500000000.0,45.0,92.0,3.0,3.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,3300000000.0,98.0,160.0,2.0,3.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,800000000.0,84.0,91.0,2.0,4.0,2.0,0.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,2500000000.0,45.0,92.0,3.0,3.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,3400000000.0,60.0,130.0,3.0,5.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,5900000000.0,144.0,165.0,3.0,4.0,4.0,3.0
Pasar Minggu,Jakarta Selatan,-6.289610499999999,106.8399623,3400000000.0,60.0,130.0,3.0,4.0,4.0,1.0
Pasar Minggu,Jakarta Selatan,-6.270482899999999,106.8384873,2910600000.0,77.0,153.0,3.0,3.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.270482899999999,106.8384873,2822400000.0,82.0,135.0,3.0,3.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.270482899999999,106.8384873,2548000000.0,60.0,136.0,3.0,3.0,3.0,1.0
Pasar Minggu,Jakarta Selatan,-6.270482899999999,106.8384873,2665600000.0,70.0,138.0,3.0,3.0,3.0,1.0
