District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Ciampea,Kabupaten Bogor,-6.5549421,106.6961626,220000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,728900000.0,106.0,36.0,1.0,2.0,1.0,0.0
 Bogor Timur,Kota Bogor,-6.628006600000001,106.8244749,1350000000.0,120.0,224.0,1.0,3.0,2.0,2.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Gunung Sindur,Kabupaten Bogor,-6.3847562,106.6804186,700000000.0,60.0,33.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Citeureup,Kabupaten Bogor,-6.4881955,106.8814798,560000000.0,75.0,40.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,460000000.0,75.0,65.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,460000000.0,75.0,65.0,1.0,2.0,1.0,1.0
Ciawi,Kabupaten Bogor,-6.663033899999999,106.8562067,1200000000.0,120.0,150.0,1.0,10.0,10.0,0.0
Jonggol,Kabupaten Bogor,-6.4597469,107.0422961,650000000.0,120.0,39.0,1.0,2.0,1.0,2.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Ciampea,Kabupaten Bogor,-6.5549421,106.6961626,2500000000.0,580.0,599.0,2.0,5.0,3.0,1.0
Ciampea,Kabupaten Bogor,-6.5549421,106.6961626,2500000000.0,580.0,600.0,2.0,5.0,3.0,1.0
Babakan Madang,Kabupaten Bogor,-6.5636316,106.8639566,1800000000.0,215.0,140.0,1.0,4.0,2.0,1.0
Babakan Madang,Kabupaten Bogor,-6.5636316,106.8639566,1800000000.0,215.0,140.0,1.0,4.0,2.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4551607,106.7501884,299000000.0,72.0,41.0,1.0,2.0,1.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4551607,106.7501884,299000000.0,72.0,41.0,1.0,2.0,1.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4551607,106.7501884,658000000.0,60.0,65.0,2.0,3.0,2.0,1.0
Bogor Timur,Kota Bogor,-6.617944400000001,106.820343,980000000.0,110.0,184.0,2.0,4.0,2.0,1.0
Sukaraja,Kabupaten Bogor,-6.5261691,106.8002889,599000000.0,72.0,55.0,2.0,3.0,2.0,2.0
Babakan Madang,Kabupaten Bogor,-6.5636316,106.8639566,850000000.0,60.0,38.0,1.0,2.0,1.0,1.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,385000000.0,60.0,33.0,1.0,2.0,1.0,1.0
Ciawi,Kabupaten Bogor,-6.663033899999999,106.8562067,1700000000.0,90.0,88.0,2.0,2.0,2.0,1.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,385000000.0,60.0,33.0,1.0,2.0,1.0,1.0
Citeureup,Kabupaten Bogor,-6.485174499999999,106.8726814,250000000.0,120.0,100.0,1.0,2.0,1.0,1.0
Babakan Madang,Kabupaten Bogor,-6.5636316,106.8639566,1000000000.0,72.0,45.0,1.0,2.0,1.0,1.0
Ciampea,Kabupaten Bogor,-6.5549421,106.6961626,220000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Gunung Sindur,Kabupaten Bogor,-6.3847562,106.6804186,7000000000.0,240.0,250.0,2.0,5.0,3.0,0.0
