Floors,Bedrooms,Bathrooms,Building_Size_M2,Land_Size_M2,Latitude,Longitude,Price,District,City,Carport/Garage
2.0,18.0,18.0,350.0,370.0,-6.2212429,106.8256669,16000000000.0,Kuningan,Jakarta Selatan,1.0
3.0,8.0,5.0,800.0,300.0,-6.17214,106.80272,13500000000.0,Tomang,Jakarta Barat,8.0
2.0,3.0,4.0,250.0,187.0,-6.277122299999999,106.7975781,5200000000.0,Cilandak,Jakarta Selatan,0.0
2.0,3.0,2.0,90.0,72.0,-6.213339805603027,106.73847198486328,1900000000.0,Joglo,Jakarta Barat,0.0
3.0,4.0,5.0,900.0,830.0,-6.2452337,106.7999471,72000000000.0,Kebayoran Baru,Jakarta Selatan,8.0
1.0,3.0,2.0,400.0,909.0,-6.1937297,106.8392111,50000000000.0,Menteng,Jakarta Pusat,7.0
3.0,4.0,4.0,1200.0,475.0,-6.1937297,106.8392111,65000000000.0,Menteng,Jakarta Pusat,6.0
3.0,5.0,5.0,650.0,680.0,-6.2452337,106.7999471,34000000000.0,Kebayoran Baru,Jakarta Selatan,0.0
2.0,4.0,2.0,150.0,75.0,-6.2553397,106.8325872,2500000000.0,Duren Tiga,Jakarta Selatan,1.0
1.0,4.0,3.0,500.0,400.0,-6.2365273,106.751266,5900000000.0,Pesanggrahan,Jakarta Selatan,0.0
2.0,3.0,3.0,250.0,225.0,-6.2094712,106.7308196,3000000000.0,Kav DKI,Jakarta Barat,1.0
1.0,5.0,4.0,444.0,589.0,-6.2365997,106.7805858,17500000000.0,Kebayoran Lama,Jakarta Selatan,0.0
2.0,3.0,2.0,120.0,103.0,-6.2542615,106.7792448,2900000000.0,Tanah Kusir,Jakarta Selatan,2.0
2.0,4.0,2.0,98.0,98.0,-6.3092491,106.9033981,1300000000.0,Bambu Apus,Jakarta Timur,1.0
2.0,4.0,3.0,500.0,825.0,-6.1987086,106.741926,19300000000.0,Kembangan,Jakarta Barat,5.0
