District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Medan Satria,Bekasi,-6.1817524,106.9736839,700000000.0,123.0,80.0,1.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.1800099,107.0054386,330000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,1600000000.0,160.0,208.0,2.0,5.0,3.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,475000008.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.1800099,107.0054386,485000000.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,985000000.0,135.0,135.0,1.0,3.0,2.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,860000000.0,84.0,100.0,2.0,3.0,3.0,2.0
Bekasi Barat,Bekasi,-6.2457664,106.9683273,1599000000.0,117.0,138.0,2.0,3.0,3.0,2.0
Babelan,Bekasi,-6.1779489,107.0362844,395000000.0,60.0,57.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.2457664,106.9683273,1599000000.0,116.0,138.0,2.0,3.0,3.0,2.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,778000000.0,75.0,60.0,2.0,3.0,2.0,2.0
Medan Satria,Bekasi,-6.1817524,106.9736839,750000000.0,75.0,75.0,2.0,2.0,2.0,1.0
Jawa Barat,Bekasi,-6.366722999999999,107.1735638,777500000.0,60.0,80.0,2.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,1200000000.0,110.0,149.0,2.0,3.0,2.0,0.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,1300000000.0,80.0,120.0,2.0,3.0,3.0,2.0
Tarumajaya,Bekasi,-6.1701124,107.0010583,800000000.0,123.0,250.0,3.0,6.0,2.0,1.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,1300000000.0,90.0,120.0,2.0,3.0,3.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,985000000.0,135.0,134.0,1.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.203464299999999,107.0042335,850000000.0,190.0,160.0,1.0,3.0,1.0,0.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,799000000.0,69.0,109.0,2.0,4.0,2.0,1.0
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,650000000.0,90.0,90.0,2.0,3.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2295074,106.9554485,1600000000.0,135.0,199.0,2.0,4.0,2.0,1.0
Medan Satria,Bekasi,-6.1730925,106.9931081,465000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,550000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,778000000.0,75.0,60.0,2.0,3.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,777500000.0,60.0,80.0,2.0,3.0,2.0,1.0
Babelan,Bekasi,-6.1824924,107.0133746,415000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Jatisampurna,Bekasi,-6.3825606,106.9295444,1900000000.0,105.0,75.0,1.0,2.0,1.0,1.0
Jatisampurna,Bekasi,-6.3825606,106.9295444,1750000000.0,162.0,53.0,1.0,2.0,1.0,1.0
Medan Satria,Bekasi,-6.1730925,106.9931081,1600000000.0,122.0,200.0,1.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,295000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Cibarusah,Bekasi,-6.408940599999999,107.092771,188000000.0,60.0,30.0,1.0,2.0,1.0,2.0
